atomic_number,element_symbol,element_chinese_name,element_pinyin,atomic_mass,element_english_name,period_row,family_column,catalog_I
1,H,氢,qīng,1.008,Hydrogen,1,I-A,非金属
2,He,氦,hài,4.003,Helium,1,O,稀有气体
3,Li,锂,lǐ,6.941,Lithium,2,I-A,金属
4,Be,铍,pí,9.012,Beryllium,2,II-A,金属
5,B,硼,péng,10.810,Boron,2,III-A,非金属
6,C,碳,tàn,12.010,Carbon,2,IV-A,非金属
7,N,氮,dàn,14.010,Nitrogen,2,V-A,非金属
8,O,氧,yǎng,16.000,Oxygen,2,VI-A,非金属
9,F,氟,fú,19.000,Fluorine,2,VII-A,非金属
10,Ne,氖,nǎi,20.180,Neon,2,O,稀有气体
11,Na,钠,nà,22.990,Sodium,3,I-A,金属
12,Mg,镁,měi,24.310,Magnesium,3,II-A,金属
13,Al,铝,lǚ,26.980,Aluminium,3,III-A,金属
14,Si,硅,guī,28.090,Silicon,3,IV-A,非金属
15,P,磷,lín,30.970,Phosphorus,3,V-A,非金属
16,S,硫,liú,32.060,Sulphur,3,VI-A,非金属
17,Cl,氯,lǜ,35.450,Chlorine,3,VII-A,非金属
18,Ar,氩,yà,39.950,Argon,3,O,稀有气体
19,K,钾,jiǎ,39.100,Potassium,4,I-A,金属
20,Ca,钙,gài,40.080,Calcium,4,II-A,金属
21,Sc,钪,kàng,44.960,Scandium,4,III-B,金属
22,Ti,钛,tài,47.870,Titanium,4,IV-B,金属
23,V,钒,fán,50.940,Vanadium,4,V-B,金属
24,Cr,铬,gè,52.000,Chromium,4,VI-B,金属
25,Mn,锰,měng,54.940,Manganese,4,VII-B,金属
26,Fe,铁,tiě,55.850,Iron,4,VIII,金属
27,Co,钴,gǔ,58.930,Cobalt,4,VIII,金属
28,Ni,镍,niè,58.690,Nickel,4,VIII,金属
29,Cu,铜,tóng,63.550,Copper,4,I-B,金属
30,Zn,锌,xīn,65.580,Zinc,4,II-B,金属
31,Ga,镓,jiā,69.720,Gallium,4,III-A,金属
32,Ge,锗,zhě,72.630,Germanium,4,IV-A,金属
33,As,砷,shēn,74.920,Arsenic,4,V-A,非金属
34,Se,硒,xī,78.960,Selenium,4,VI-A,非金属
35,Br,溴,xiù,79.900,Bromine,4,VII-A,非金属
