chinese_name,chinese_alias,chemical_formula,catalogI,comment
硫酸铵,,(NH4)2SO4,常见化肥,
银,,Ag,金属单质,
氯化银,,AgCl,常见的盐,
硝酸银,,AgNO3,常见的盐,
铝,,Al,金属单质,
氢氧化铝,,Al(OH)3,常见的碱,
硫酸铝,,Al2(SO4)3,常见的盐,
三氧化二铝,,Al2O3,氧化物,
氧化铝,,Al2O3,氧化物,
氯化铝,,AlCl3,常见的盐,
氩,,Ar,惰性气体,
钡,,Ba,金属单质,
氢氧化钡,,Ba(OH)2,常见的碱,
氯化钡,,BaCl2,常见的盐,
硫酸钡,,BaSO4,常见的盐,
碳,金刚石、石墨、石墨烯,C,非金属单质,
乙炔,,C2H2,常见有机物,
乙醇,酒精,C2H5OH,常见有机物,
钙,,Ca,金属单质,
硝酸钙,,Ca(NO3)2,常见的盐,
氢氧化钙,澄清石灰水、熟石灰、消石灰,Ca(OH)2,常见的碱,
氯化钙,,CaCl2,常见的盐,
碳酸钙,石灰石,CaCO3,常见的盐,
氧化钙,生石灰,CaO,常见的盐,
硫酸钙,,CaSO4,常见的盐,
醋酸,,CH3COOH,常见的酸,
乙酸,醋酸,CH3COOH,常见有机物,
甲醇,,CH3OH,常见有机物,
甲烷,,CH4,常见有机物,
氯气,,Cl2,非金属单质,
尿素,,CO(NH2)2,常见化肥,
二氧化碳,干冰(仅固体时）,CO2,氧化物,
铜,,Cu,金属单质,
硝酸铜,,Cu(NO3)2,常见的盐,
氢氧化铜,,Cu(OH)2,常见的碱,
碱式碳酸铜,铜绿、孔雀石,Cu2(OH)2CO3,常见的盐,
氯化铜,,CuCl2,常见的盐,
氧化铜,,CuO,氧化物,
硫酸铜,,CuSO4,常见的盐,
蓝矾,,CuSO4•5H2O,常见结晶水合物,
硫酸铜晶体,胆矾、蓝矾,CuSO4•5H2O,常见结晶水合物,
铁,,Fe,金属单质,
氢氧化亚铁,,Fe(OH)2,常见的碱,
氢氧化铁,,Fe(OH)3,常见的碱,
硫酸铁,,Fe2(SO4)3,常见的盐,
三氧化二铁,铁红、铁锈,Fe2O3,氧化物,
四氧化三铁,,Fe3O4,氧化物,
氯化亚铁,,FeCl2,常见的盐,
氯化铁,,FeCl3,常见的盐,
氧化亚铁,,FeO,氧化物,
硫酸亚铁,,FeSO4,常见的盐,
氢气,,H2,非金属单质,
碳酸,,H2CO3,常见的酸,
水,,H2O,氧化物,
过氧化氢,双氧水,H2O2,氧化物,
硫化氢,,H2S,常见的酸,
硫酸,,H2SO4,常见的酸,
亚硫酸,,H2SO2,常见的酸,
磷酸,,H3PO4,常见的酸,
氯化氢,稀盐酸,HCl,常见的酸,
氦,,He,惰性气体,
汞,水银,Hg,金属单质,
氧化汞,,HgO,氧化物,
硝酸,,HNO3,常见的酸,
钾,,K,金属单质,
碳酸钾,,K2CO3,常见的盐,
锰酸钾,,K2MnO4,常见的盐,
硫酸钾,,K2SO4,常见的盐,
明矾,,KAl(SO4)2•12H2O,常见结晶水合物,
氯化钾,,KCl,常见的盐,
氯酸钾,,KClO3,常见的盐,
磷酸二氢钾,,KH2PO4,常见化肥,
硫酸氢钾,,KHSO4,常见的盐,
碘化钾,,KI,常见的盐,
碘酸钾,,KIO3,常见的盐,
高锰酸钾,,KMnO4,常见的盐,
硝酸钾,,KNO3,常见的盐,
氢氧化钾,,KOH,常见的碱,
氪,,Kr,惰性气体,
镁,,Mg,金属单质,
氢氧化镁,,Mg(OH)2,常见的碱,
氯化镁,,MgCl2,常见的盐,
碳酸镁,,MgCO3,常见的盐,
硝酸镁,,MgNO3,常见的盐,
氧化镁,,MgO,氧化物,
硫酸镁,,MgSO4,常见的盐,
锰,,Mn,金属单质,
二氧化锰,,MnO2,氧化物,
氮气,,N2,非金属单质,
钠,,Na,金属单质,
碳酸钠,纯碱,Na2CO3,常见的盐,
碳酸钠晶体,纯碱晶体,Na2CO3•10H2O,常见结晶水合物,
硫酸钠,,Na2SO4,常见的盐,
溴化钠,,NaBr,常见的盐,
氯化钠,食盐,NaCl,常见的盐,无色立方结晶或细小结晶粉末，味咸。外观是白色晶体状，其来源主要是海水，是食盐的主要成分。易溶于水、甘油，微溶于乙醇(酒精）、液氨；不溶于浓盐酸。不纯的氯化钠在空气中有潮解性。
碳酸氢钠,小苏打,NaHCO3,常见的盐,
硫酸氢钠,,NaHSO4,常见的盐,
亚硝酸钠,工业用盐、有毒,NaNO2,常见的盐,
硝酸钠,,NaNO3,常见的盐,
硝酸钠,,NaNO3,常见的盐,
氢氧化钠,苛性钠、火碱、烧碱,NaOH,常见的碱,
氖,,Ne,惰性气体,
一水合氨,阿摩尼亚水、浓氨水,NH3·H2O,常见的碱,
氨气,,NH3,碱性气体,
氯化铵,,NH4Cl,常见化肥,
碳酸氢氨,,NH4HCO3,常见的盐,
碳酸氢铵,,NH4HCO3,常见化肥,
硝酸铵,化肥,NH4NO3,常见的盐,
硝酸铵,,NH4NO3,常见化肥,
一氧化氮,煤气,NO,氧化物,
二氧化氮,,NO2,氧化物,
氧气,,O2,非金属单质,
臭氧,,O3,非金属单质,
磷,白磷、红磷,P,非金属单质,
五氧化二磷,,P2O5,氧化物,
氡,,Rn,惰性气体,
硫,硫磺,S,非金属单质,
硅,沙子,Si,非金属单质,
二氧化硫,,SO2,氧化物,
三氧化硫,,SO3,氧化物,
氙,,Xe,惰性气体,
锌,,Zn,金属单质,
氯化锌,,ZnCl2,常见的盐,
硫酸锌,,ZnSO4,常见的盐,
